,stock,day,open,close,high,low,volume
2027,VNINDEX,2025_02_17,1277.12,1272.72,1278.49,1272.72,15414728376000.0
2028,VNINDEX,2025_02_18,1274.05,1278.14,1283.34,1272.19,12810737169000.0
2029,VNINDEX,2025_02_19,1280.6,1288.56,1288.56,1278.92,15354358161000.0
2030,VNINDEX,2025_02_20,1292.94,1292.98,1295.82,1290.84,14991794027000.0
2031,VNINDEX,2025_02_21,1293.63,1296.75,1296.75,1290.98,14469827705000.0
2032,VNINDEX,2025_02_24,1298.39,1304.56,1304.56,1294.69,18499803983999.992
2033,VNINDEX,2025_02_25,1306.86,1303.16,1309.97,1298.54,18096130732999.996
2034,VNINDEX,2025_02_26,1305.16,1302.96,1306.49,1301.2,15508259925000.0
2035,VNINDEX,2025_02_27,1307.31,1307.8,1307.87,1296.43,17714883983000.0
2036,VNINDEX,2025_02_28,1307.14,1305.36,1308.77,1300.66,16799801878000.004
2037,VNINDEX,2025_03_03,1306.97,1309.37,1309.77,1304.3,17013584440999.988
2038,VNINDEX,2025_03_04,1306.82,1311.91,1313.21,1298.28,20014761346000.004
2039,VNINDEX,2025_03_05,1312.84,1304.71,1319.52,1304.71,17238957314000.0
2040,VNINDEX,2025_03_06,1308.02,1318.22,1318.22,1307.91,20602752696000.0
2041,VNINDEX,2025_03_07,1320.08,1326.05,1327.07,1318.71,19459129354000.0
2042,VNINDEX,2025_03_10,1331.6,1330.28,1335.87,1326.51,19856190813000.016
2043,VNINDEX,2025_03_11,1319.17,1332.54,1332.54,1315.92,18924189366000.0
2044,VNINDEX,2025_03_12,1337.63,1334.41,1342.91,1331.75,19469084428000.0
2045,VNINDEX,2025_03_13,1335.66,1326.27,1340.91,1324.87,23062798482000.0
2046,VNINDEX,2025_03_14,1325.84,1326.15,1333.32,1324.3,21266168909000.004
2047,VNINDEX,2025_03_17,1330.62,1336.26,1336.26,1329.05,17982616330000.0
2048,VNINDEX,2025_03_18,1340.16,1330.97,1341.65,1330.97,17304433312000.0
2049,VNINDEX,2025_03_19,1330.4,1324.63,1330.7,1320.85,20196757264000.0
2050,VNINDEX,2025_03_20,1326.8,1323.93,1332.41,1316.11,17797526480000.0
2051,VNINDEX,2025_03_21,1324.0,1321.88,1325.22,1320.67,14992458210000.012
2052,VNINDEX,2025_03_24,1322.9,1330.32,1330.32,1316.73,17110974114000.004
2053,VNINDEX,2025_03_25,1335.29,1331.92,1337.6,1329.81,17399242058000.0
2054,VNINDEX,2025_03_26,1333.33,1326.09,1338.55,1323.69,16568318783000.004
2055,VNINDEX,2025_03_27,1325.98,1323.81,1328.82,1323.01,12725496424000.004
2056,VNINDEX,2025_03_28,1324.42,1317.46,1325.34,1315.72,14314381194000.002
2057,VNINDEX,2025_03_31,1313.51,1306.86,1314.09,1304.1,17517339573000.006
2058,VNINDEX,2025_04_01,1313.03,1317.33,1317.46,1308.06,13561174903000.0
2059,VNINDEX,2025_04_02,1321.53,1317.83,1324.46,1317.68,15655530993000.0
2060,VNINDEX,2025_04_03,1272.87,1229.84,1277.9,1229.41,38234578748000.0
2061,VNINDEX,2025_04_04,1159.33,1210.67,1210.67,1158.17,39393206359000.016
2062,VNINDEX,2025_04_08,1173.14,1132.79,1174.4,1130.98,22776027556000.0
2063,VNINDEX,2025_04_09,1073.61,1094.3,1141.35,1073.61,30213409662999.99
2064,VNINDEX,2025_04_10,1166.09,1168.34,1168.4,1165.86,4638059779000.0
2065,VNINDEX,2025_04_11,1185.86,1222.46,1222.46,1180.59,37270096270000.0
2066,VNINDEX,2025_04_14,1235.01,1241.44,1242.94,1226.06,22288259322000.0
2067,VNINDEX,2025_04_15,1232.64,1227.79,1246.21,1221.75,22720046027000.0
2068,VNINDEX,2025_04_16,1225.29,1210.3,1233.84,1205.93,17999914772000.0
2069,VNINDEX,2025_04_17,1201.63,1217.25,1217.25,1197.5,15705751985000.0
2070,VNINDEX,2025_04_18,1228.37,1219.12,1234.67,1219.12,20841972111000.004
2071,VNINDEX,2025_04_21,1220.38,1207.07,1222.77,1201.63,17380112822000.014
2072,VNINDEX,2025_04_22,1201.38,1197.13,1203.82,1136.98,31753797969000.0
2073,VNINDEX,2025_04_23,1215.65,1211.0,1216.28,1202.27,14490525914000.0
2074,VNINDEX,2025_04_24,1214.78,1223.35,1224.66,1210.37,16269661098000.004
2075,VNINDEX,2025_04_25,1227.16,1229.23,1230.72,1220.67,18354445370000.0
2076,VNINDEX,2025_04_28,1234.3,1226.8,1234.3,1222.56,12258393625000.0
2077,VNINDEX,2025_04_29,1227.25,1226.3,1229.1,1222.3,12131677787000.0
2078,VNINDEX,2025_05_05,1226.3,1240.05,1240.05,1240.05,13150990530330.0
2079,VNINDEX,2025_05_06,1240.05,1241.95,1241.95,1241.95,16061594879460.0
2080,VNINDEX,2025_05_07,1241.95,1250.37,1250.79,1240.2,15481172850000.0
2081,VNINDEX,2025_05_08,1250.37,1269.8,1271.44,1250.37,18230345431000.0
2082,VNINDEX,2025_05_09,1269.8,1267.3,1279.61,1264.87,15909773362000.0
2083,VNINDEX,2025_05_12,1267.3,1283.26,1283.86,1267.3,19777269676000.0
2084,VNINDEX,2025_05_13,1283.26,1293.43,1293.7,1283.26,21784436875000.0
2085,VNINDEX,2025_05_14,1293.43,1309.73,1310.57,1292.34,22859159334000.0
2086,VNINDEX,2025_05_15,1309.73,1313.2,1316.16,1301.61,24549484006000.0
2087,VNINDEX,2025_05_16,1313.2,1301.39,1318.03,1299.55,19307455895000.0
2088,VNINDEX,2025_05_19,1301.39,1296.29,1306.2,1291.66,19751648670000.0
2089,VNINDEX,2025_05_20,1296.29,1315.15,1316.67,1296.29,20389455383000.0
2090,VNINDEX,2025_05_21,1315.15,1323.05,1331.6,1313.13,23616834843000.0
2091,VNINDEX,2025_05_22,1319.97,1313.84,1331.93,1312.8,25115149989000.0
2092,VNINDEX,2025_05_23,1313.84,1314.46,1320.07,1308.62,15063463749000.0
2093,VNINDEX,2025_05_26,1314.46,1332.51,1332.51,1288.86,21401674798000.0
2094,VNINDEX,2025_05_27,1332.51,1339.81,1339.81,1329.6,23684890409000.0
2095,VNINDEX,2025_05_28,1339.81,1341.87,1348.05,1337.18,20927711174000.0
2096,VNINDEX,2025_05_29,1341.87,1341.86,1348.31,1335.62,20228071973000.0
2097,VNINDEX,2025_05_30,1341.86,1332.6,1345.78,1328.69,20858040031000.0
